filename,age,target
data/train/44501re.jpg,1,2
data/train/33200re.jpg,11,2
data/train/44872re.jpg,1,2
data/train/37177re.jpg,11,2
data/train/58591re.jpg,4,2
data/train/45442re.jpg,2,2
data/train/14982re.jpg,0,2
data/train/73535re.jpg,6,2
data/train/82805re.jpg,8,2
data/train/29462re.jpg,10,2
data/train/81157re.jpg,7,2
data/train/32747re.jpg,10,2
data/train/79018re.jpg,7,2
data/train/64074re.jpg,5,2
data/train/21862re.jpg,9,2
data/train/24920re.jpg,9,2
data/train/54990re.jpg,3,2
data/train/56935re.jpg,4,2
data/train/44585re.jpg,1,2
data/train/33871re.jpg,11,2
data/train/65237re.jpg,5,2
data/train/20190re.jpg,0,2
data/train/55861re.jpg,3,2
data/train/85759re.jpg,8,2
data/train/41642re.jpg,1,2
data/train/51547re.jpg,3,2
data/train/63416re.jpg,5,2
data/train/47220re.jpg,2,2
data/train/28151re.jpg,10,2
data/train/47732re.jpg,2,2
data/train/32260re.jpg,10,2
data/train/62932re.jpg,5,2
data/train/16238re.jpg,0,2
data/train/67840re.jpg,5,2
data/train/78906re.jpg,7,2
data/train/21891re.jpg,9,2
data/train/37981re.jpg,11,2
data/train/25549re.jpg,9,2
data/train/24334re.jpg,9,2
data/train/53548re.jpg,3,2
data/train/18423re.jpg,0,2
data/train/39010re.jpg,11,2
data/train/38010re.jpg,11,2
data/train/50031re.jpg,2,2
data/train/51565re.jpg,3,2
data/train/32144re.jpg,10,2
data/train/80182re.jpg,7,2
data/train/67148re.jpg,5,2
data/train/50932re.jpg,3,2
data/train/42994re.jpg,1,2
data/train/25972re.jpg,9,2
data/train/78473re.jpg,7,2
data/train/53033re.jpg,3,2
data/train/27677re.jpg,10,2
data/train/51445re.jpg,3,2
data/train/80380re.jpg,7,2
data/train/43072re.jpg,1,2
data/train/26781re.jpg,10,2
data/train/46455re.jpg,2,2
data/train/15484re.jpg,0,2
data/train/52022re.jpg,3,2
data/train/58380re.jpg,4,2
data/train/81619re.jpg,8,2
data/train/55872re.jpg,3,2
data/train/85124re.jpg,8,2
data/train/25130re.jpg,9,2
data/train/38357re.jpg,11,2
data/train/44659re.jpg,1,2
data/train/55518re.jpg,3,2
data/train/76493re.jpg,7,2
data/train/37970re.jpg,11,2
data/train/51357re.jpg,3,2
data/train/43528re.jpg,1,2
data/train/25039re.jpg,9,2
data/train/49476re.jpg,2,2
data/train/42807re.jpg,1,2
data/train/79945re.jpg,7,2
data/train/59554re.jpg,4,2
data/train/73474re.jpg,6,2
data/train/26351re.jpg,9,2
data/train/27784re.jpg,10,2
data/train/16376re.jpg,0,2
data/train/74453re.jpg,6,2
data/train/52177re.jpg,3,2
data/train/58306re.jpg,4,2
data/train/24700re.jpg,9,2
data/train/79679re.jpg,7,2
data/train/44095re.jpg,1,2
data/train/54548re.jpg,3,2
data/train/72895re.jpg,6,2
data/train/55798re.jpg,3,2
data/train/46615re.jpg,2,2
data/train/33657re.jpg,11,2
data/train/69271re.jpg,6,2
data/train/83709re.jpg,8,2
data/train/63697re.jpg,5,2
data/train/27552re.jpg,10,2
data/train/35913re.jpg,11,2
data/train/40858re.jpg,1,2
data/train/20607re.jpg,9,2
data/train/32813re.jpg,11,2
data/train/50955re.jpg,3,2
data/train/48379re.jpg,2,2
data/train/81133re.jpg,7,2
data/train/49998re.jpg,2,2
data/train/16620re.jpg,0,2
data/train/18160re.jpg,0,2
data/train/63809re.jpg,5,2
data/train/69423re.jpg,6,2
data/train/60488re.jpg,4,2
data/train/74822re.jpg,6,2
data/train/85125re.jpg,8,2
data/train/58821re.jpg,4,2
data/train/70994re.jpg,6,2
data/train/39020re.jpg,11,2
data/train/25308re.jpg,9,2
data/train/62549re.jpg,4,2
data/train/62908re.jpg,5,2
data/train/24951re.jpg,9,2
data/train/67331re.jpg,5,2
data/train/40513re.jpg,1,2
data/train/62463re.jpg,4,2
data/train/19204re.jpg,0,2
data/train/14574re.jpg,0,2
data/train/78577re.jpg,7,2
data/train/25272re.jpg,9,2
data/train/39427re.jpg,1,2
data/train/74357re.jpg,6,2
data/train/60136re.jpg,4,2
data/train/72790re.jpg,6,2
data/train/78348re.jpg,7,2
data/train/20729re.jpg,9,2
data/train/76776re.jpg,7,2
data/train/46627re.jpg,2,2
data/train/85868re.jpg,8,2
data/train/67996re.jpg,5,2
data/train/70736re.jpg,6,2
data/train/37149re.jpg,11,2
data/train/74578re.jpg,6,2
data/train/87121re.jpg,8,2
data/train/71967re.jpg,6,2
data/train/19590re.jpg,0,2
data/train/62579re.jpg,4,2
data/train/28739re.jpg,10,2
data/train/35801re.jpg,11,2
data/train/41732re.jpg,1,2
data/train/31903re.jpg,10,2
data/train/75683re.jpg,7,2
data/train/85058re.jpg,8,2
data/train/77963re.jpg,7,2
data/train/34053re.jpg,11,2
data/train/72780re.jpg,6,2
data/train/43458re.jpg,1,2
data/train/82312re.jpg,8,2
data/train/33605re.jpg,11,2
data/train/42990re.jpg,1,2
data/train/63088re.jpg,5,2
data/train/81314re.jpg,8,2
data/train/56230re.jpg,3,2
data/train/15114re.jpg,0,2
data/train/52655re.jpg,3,2
data/train/81194re.jpg,7,2
data/train/20636re.jpg,9,2
data/train/22290re.jpg,9,2
data/train/45117re.jpg,2,2
data/train/69821re.jpg,6,2
data/train/84397re.jpg,8,2
data/train/74672re.jpg,6,2
data/train/40525re.jpg,1,2
data/train/44644re.jpg,1,2
data/train/81965re.jpg,8,2
data/train/18626re.jpg,0,2
data/train/52672re.jpg,3,2
data/train/16191re.jpg,0,2
data/train/81369re.jpg,8,2
data/train/59312re.jpg,4,2
data/train/82198re.jpg,8,2
data/train/33254re.jpg,11,2
data/train/19884re.jpg,0,2
data/train/76485re.jpg,7,2
data/train/38435re.jpg,11,2
data/train/16272re.jpg,0,2
data/train/45865re.jpg,2,2
data/train/85101re.jpg,8,2
data/train/33933re.jpg,11,2
data/train/46056re.jpg,2,2
data/train/36099re.jpg,11,2
data/train/33371re.jpg,11,2
data/train/31772re.jpg,10,2
data/train/36440re.jpg,11,2
data/train/59574re.jpg,4,2
data/train/18069re.jpg,0,2
data/train/16812re.jpg,0,2
data/train/83688re.jpg,8,2
data/train/35077re.jpg,11,2
data/train/19318re.jpg,0,2
data/train/74764re.jpg,6,2
data/train/37666re.jpg,11,2
data/train/28682re.jpg,10,2
data/train/19118re.jpg,0,2
data/train/58792re.jpg,4,2
data/train/19724re.jpg,0,2
data/train/40756re.jpg,1,2
data/train/64064re.jpg,5,2
data/train/79959re.jpg,7,2
data/train/19006re.jpg,0,2
data/train/15468re.jpg,0,2
data/train/68195re.jpg,5,2
data/train/78158re.jpg,7,2
data/train/79666re.jpg,7,2
data/train/37264re.jpg,11,2
data/train/85102re.jpg,8,2
